boundedQueue;480,82;465,65;474,25;477,87;472,20;477,95;478,56;479,55;470,70;472,13;473,41;475,70;467,16;472,63;474,58
cal;15,92;16,13;14,80;17,81;15,59;16,58;15,43;17,41;17,22;16,74;16,04;17,06;15,83;16,43;15,38
Calculation;68,51;66,38;65,97;68,44;68,44;66,99;68,06;67,42;66,73;66,58;67,30;67,29;68,43;68,46;67,21
checkIt;18,01;17,11;17,56;17,95;17,35;17,50;17,23;17,72;17,97;17,23;17,22;17,25;17,23;17,30;17,69
CheckPalindrome;29,09;31,00;31,01;27,82;29,82;29,23;30,00;30,04;28,29;29,52;29,92;28,10;28,71;30,77;29,24
countPositive;9,87;10,03;9,62;9,71;9,66;9,84;9,73;9,97;9,81;10,03;9,98;9,95;9,81;9,70;9,84
date-plus;112,16;113,10;112,05;115,02;112,13;114,60;112,62;112,90;113,16;114,05;115,01;112,38;112,22;113,63;112,61
DigitReverser;34,16;31,79;32,58;33,40;33,30;33,05;32,11;32,67;32,08;32,11;33,48;32,37;32,57;34,02;33,03
findLast;6,03;8,12;8,06;6,03;7,46;6,49;7,09;7,38;6,79;7,91;7,87;8,10;7,62;8,01;7,63
findVal;44,15;41,39;41,35;42,89;43,41;42,15;41,92;42,53;43,94;42,01;43,94;42,10;41,61;42,80;41,91
Gaussian;83,21;81,98;81,98;82,93;82,96;83,07;83,10;82,06;82,54;82,27;82,25;82,78;82,50;82,58;82,33
Heap;38,92;39,15;37,28;39,57;38,23;39,56;38,74;38,13;38,72;37,56;37,32;38,97;38,32;39,09;38,66
InversePermutation;12,59;12,56;12,49;13,38;12,88;12,75;13,37;12,97;12,59;12,80;13,38;13,34;13,09;13,28;13,14
jday-jdate;113,58;112,91;112,04;112,84;113,41;112,38;112,44;112,67;112,13;112,99;112,87;113,38;112,06;112,26;113,44
lastZero;144,88;143,97;146,76;142,43;143,34;146,15;144,95;145,55;146,62;143,34;145,73;144,63;144,23;146,26;143,36
LRS;37,75;37,77;38,95;37,85;38,81;38,83;37,83;37,99;37,95;38,81;38,70;38,03;38,14;38,48;37,79
MergeSort;31,96;33,49;33,90;28,11;29,44;29,84;31,42;30,73;31,71;32,07;31,30;32,74;33,57;30,17;29,83
numZero;83,58;84,97;83,69;86,80;85,88;86,70;84,18;83,91;86,47;84,46;84,76;86,76;85,91;84,76;86,04
oddOrPos;11,18;10,65;10,78;10,80;10,67;11,05;11,17;10,96;11,13;11,17;11,01;10,72;10,80;10,92;11,14
pcal;311,29;311,44;309,59;314,25;311,64;311,08;309,71;313,59;309,92;313,62;314,17;312,93;311,70;311,29;313,23
power;20,30;23,39;25,85;20,37;21,33;20,38;23,40;22,01;22,26;22,92;20,97;25,63;22,59;23,92;22,19
print_tokens;213,74;214,13;214,81;216,25;216,24;214,54;214,14;214,72;214,80;215,06;214,82;215,25;215,93;215,00;214,97
print_tokens2;190,59;193,49;190,91;201,02;200,31;193,29;195,41;192,61;197,35;194,03;200,09;199,31;193,10;198,60;200,04
printPrimes;40,23;39,15;39,78;38,08;38,96;39,71;38,90;38,47;39,78;38,82;39,65;40,10;38,71;38,29;39,26
Queue;7,85;9,22;9,18;7,99;8,02;8,32;9,01;9,07;9,05;8,21;9,11;8,72;8,35;9,07;8,67
quicksort;82,63;84,26;83,89;82,55;83,19;82,76;83,46;83,11;83,25;82,87;83,35;84,06;83,52;83,36;83,70
RecursiveSelectionSort;21,79;24,94;25,25;21,17;23,03;24,43;23,29;22,94;22,20;22,18;23,08;21,81;21,30;21,29;22,18
replace;1570,87;1566,00;1570,31;1567,26;1568,29;1569,01;1570,82;1569,93;1566,51;1567,30;1566,09;1567,34;1568,02;1566,36;1566,25
schedule;258,97;258,68;260,23;252,10;255,11;256,77;258,94;255,75;255,46;259,45;257,24;254,09;256,94;256,58;256,55
schedule2;165,98;166,18;164,61;166,69;165,40;165,53;165,71;164,69;164,66;166,31;165,23;165,08;165,44;166,02;166,13
Stack;30,17;28,18;28,97;27,68;28,70;29,35;28,96;27,78;28,76;27,71;28,51;30,03;29,02;29,05;27,84
stats;41,26;50,16;41,36;43,58;42,80;47,53;41,62;41,80;42,05;45,14;45,42;43,93;45,43;46,23;44,39
sum;26,53;27,21;27,09;27,50;26,64;26,57;26,63;26,79;26,87;27,39;26,73;26,79;26,93;27,23;26,66
tcas;22,01;21,88;21,87;22,22;22,09;22,14;21,96;22,18;22,08;21,97;21,97;22,14;22,16;22,10;21,89
testPad;97,57;97,17;98,68;95,68;98,44;97,97;96,08;97,32;96,74;96,39;98,52;98,11;98,13;95,73;96,19
totinfo;288,73;289,82;286,19;284,40;288,32;284,99;285,13;288,02;284,60;285,78;284,87;286,63;287,45;284,67;285,61
trashAndTakeOut;8,06;7,79;9,74;8,11;8,93;8,28;8,19;8,21;8,61;9,48;7,96;8,74;9,47;7,95;9,15
twoPred;62,02;62,17;61,37;62,52;62,02;62,00;62,39;61,47;61,87;61,68;62,50;61,75;62,07;61,66;61,61
UnixCal;63,70;64,79;64,49;64,66;64,52;64,16;63,99;64,00;64,71;64,34;64,32;63,99;64,57;64,76;63,87
TOTAL;4900,66;4898,20;4899,29;4895,73;4898,96;4903,52;4897,69;4897,02;4888,08;4894,43;4906,09;4908,08;4890,64;4900,71;4895,23
