boundedQueue;375,07;375,36;400,73;375,71;374,37;377,05;383,85;395,78;394,25;395,93;388,88;394,69;397,56;379,02;380,98
cal;23,83;23,99;24,03;24,15;24,27;24,24;24,22;23,89;23,86;24,08;24,26;24,02;23,97;23,99;24,20
Calculation;85,53;84,78;85,14;85,08;85,73;85,31;85,33;84,80;85,30;85,28;85,52;85,17;85,13;85,00;85,26
checkIt;18,84;20,10;20,28;20,15;20,13;19,45;19,98;20,14;19,97;19,05;20,22;19,80;19,92;18,86;19,19
CheckPalindrome;115,35;115,27;115,01;115,10;115,11;115,10;115,18;115,17;115,09;115,07;115,22;115,23;115,23;115,20;115,20
countPositive;15,81;16,21;16,23;16,26;16,25;15,93;15,81;15,92;16,16;16,14;15,89;15,97;16,07;16,07;15,89
date-plus;103,55;104,51;103,88;102,67;103,53;103,16;103,14;103,04;102,77;103,91;104,43;103,34;103,59;103,43;103,92
DigitReverser;61,70;58,94;57,58;58,81;57,40;60,88;60,95;61,41;60,93;58,42;60,98;61,18;57,78;58,78;61,22
findLast;8,17;8,09;8,09;8,10;8,15;8,09;8,09;8,15;8,13;8,16;8,16;8,11;8,11;8,15;8,11
findVal;86,48;86,14;86,19;86,81;86,47;86,53;86,48;86,45;86,68;86,36;86,54;86,65;86,65;86,68;86,58
Gaussian;81,36;83,29;81,50;77,62;83,21;77,92;80,24;77,62;82,34;81,27;81,61;81,68;78,52;78,18;83,19
Heap;36,81;38,97;40,77;39,54;39,33;40,42;40,00;38,47;39,58;37,51;40,58;38,30;36,87;37,20;38,01
InversePermutation;12,27;12,31;12,27;12,17;12,27;12,29;12,24;12,31;12,29;12,29;12,20;12,26;12,19;12,18;12,18
jday-jdate;55,13;55,81;52,44;52,69;56,21;55,20;54,46;52,68;53,10;53,86;55,39;54,87;52,93;54,89;53,57
lastZero;59,79;58,76;61,83;62,96;63,03;60,16;62,31;61,05;60,32;60,09;61,16;60,18;60,67;62,97;61,50
LRS;81,55;82,31;82,27;82,54;83,76;83,06;82,94;82,75;82,47;82,97;82,22;82,70;81,92;83,69;82,55
MergeSort;43,05;36,80;36,17;36,62;35,60;42,77;37,35;42,54;42,45;39,25;37,09;37,84;37,63;35,69;39,92
numZero;182,18;181,79;183,18;180,40;173,57;181,41;180,39;176,15;179,62;174,12;178,01;173,94;174,49;174,91;182,81
oddOrPos;10,28;10,13;10,21;10,11;10,08;10,17;10,11;10,21;10,20;10,23;10,18;10,25;10,26;10,10;10,17
pcal;195,41;193,09;194,37;191,62;184,78;185,28;190,56;185,42;188,51;191,12;193,80;189,66;187,33;194,05;190,69
power;27,94;28,53;30,01;29,99;29,77;29,60;29,35;27,94;28,61;29,04;29,85;29,00;28,33;28,23;29,20
print_tokens;164,10;158,78;159,86;161,03;157,81;160,66;163,67;161,35;161,51;162,07;164,00;162,14;162,12;164,06;161,42
print_tokens2;181,73;220,32;221,34;221,58;225,21;183,05;204,02;195,33;199,55;207,57;225,19;204,73;213,26;211,18;211,12
printPrimes;84,07;86,16;84,28;84,15;84,41;85,53;84,62;85,24;85,25;84,79;85,22;84,81;84,25;85,84;84,09
Queue;9,00;9,03;9,06;9,38;8,97;9,30;9,08;9,02;9,25;8,99;9,29;9,33;9,32;9,13;9,16
quicksort;118,73;119,07;119,06;119,06;118,95;119,01;118,89;118,92;118,99;119,05;118,74;118,80;118,84;118,73;118,98
RecursiveSelectionSort;47,65;45,21;45,27;45,96;47,36;46,77;45,78;45,43;47,33;46,36;46,35;46,26;47,12;47,57;46,55
replace;592,74;593,24;518,53;593,47;592,17;576,15;522,69;574,76;559,45;554,96;571,11;578,55;561,74;568,80;540,89
schedule;83,81;83,33;84,19;85,69;82,54;84,71;84,71;84,81;84,03;83,67;82,68;83,27;84,97;85,15;84,13
schedule2;67,31;71,55;68,03;68,28;67,70;67,99;69,33;70,94;67,34;69,01;71,03;68,40;68,27;67,85;68,98
Stack;126,06;130,71;130,51;130,80;132,23;130,63;128,63;131,18;128,75;128,68;126,83;131,07;126,25;127,12;126,07
stats;154,18;97,11;96,12;96,46;165,12;114,86;164,81;139,84;148,15;160,78;112,80;142,34;100,92;149,45;135,83
sum;39,14;37,77;37,83;37,43;37,46;37,69;37,56;37,53;38,77;38,78;37,79;38,57;39,03;38,01;38,88
tcas;14,43;14,62;14,69;14,63;14,46;14,64;14,56;14,49;14,63;14,59;14,45;14,47;14,45;14,53;14,56
testPad;102,20;104,82;105,30;101,34;103,32;101,76;104,14;103,99;103,75;102,14;104,56;101,89;101,38;103,53;102,48
totinfo;191,32;209,67;214,55;215,55;209,01;204,10;195,44;197,60;191,44;197,88;197,76;196,78;209,61;212,20;213,78
trashAndTakeOut;8,23;8,44;10,38;9,36;9,34;8,96;10,25;9,85;8,90;8,77;9,50;10,09;9,20;9,87;9,54
twoPred;13,89;13,90;13,88;13,56;13,50;13,66;13,80;13,65;13,56;13,76;13,62;13,55;13,66;13,50;13,56
UnixCal;66,05;65,80;65,18;65,18;66,73;66,45;65,89;66,57;66,37;65,64;66,55;66,38;65,53;66,21;65,20
TOTAL;3744,74;3744,71;3700,24;3742,01;3799,31;3699,94;3720,85;3742,39;3739,65;3751,64;3749,66;3756,27;3705,07;3760,00;3729,56
