boundedQueue;334,67;269,08;298,68;311,91;329,89;302,68;291,26;311,98;292,08;332,78;321,95;326,87;270,35;321,51;270,87
cal;28,34;31,09;29,12;29,84;29,46;28,55;29,62;28,36;28,64;29,53;30,40;30,15;30,79;28,37;29,51
Calculation;98,62;130,86;112,07;101,99;101,96;107,34;122,51;111,71;107,75;112,29;103,76;119,02;109,09;100,49;124,43
checkIt;21,15;121,10;36,83;111,16;25,66;89,84;86,00;78,83;83,08;72,98;52,68;68,61;47,58;73,52;116,70
CheckPalindrome;121,37;839,22;541,05;183,18;164,44;331,24;547,80;619,44;345,09;803,15;679,71;763,09;619,13;624,65;515,17
countPositive;19,64;10,01;15,05;12,07;18,71;16,53;14,43;11,90;14,44;12,19;18,93;10,32;14,73;11,63;16,50
date-plus;126,36;79,14;123,25;113,72;100,95;85,79;117,85;98,00;101,45;122,50;110,87;110,60;94,61;83,87;103,66
DigitReverser;65,99;248,15;194,74;93,56;83,70;217,70;210,67;157,12;239,88;140,02;163,02;101,54;165,20;166,76;182,48
findLast;9,99;88,79;42,92;87,01;49,12;71,63;60,74;21,26;81,52;36,48;36,42;83,21;79,90;86,91;32,61
findVal;96,19;135,77;107,23;106,11;116,82;101,54;105,91;115,40;111,69;125,56;117,68;101,58;135,23;132,67;102,20
Gaussian;80,49;103,13;97,86;101,06;81,46;86,61;98,44;85,10;88,78;101,17;100,24;84,87;94,26;88,53;88,24
Heap;46,08;100,59;49,93;57,51;62,37;53,15;89,81;66,69;66,64;78,81;88,05;58,60;62,48;65,57;92,09
InversePermutation;15,30;21,14;15,68;19,39;18,18;19,31;17,53;20,48;16,17;20,11;21,09;17,96;21,14;16,47;20,07
jday-jdate;83,83;23,83;62,20;78,93;56,82;50,47;72,51;58,57;42,22;54,76;67,90;79,19;63,47;25,27;75,64
lastZero;79,53;64,33;73,45;70,16;66,91;66,83;75,83;70,17;77,00;69,25;64,38;69,07;67,10;65,06;76,22
LRS;83,88;69,59;74,55;78,33;82,22;82,85;77,48;70,95;81,46;80,07;71,91;70,83;75,60;71,25;82,06
MergeSort;41,14;193,60;112,58;98,16;43,61;101,19;119,24;127,78;56,26;60,73;152,95;115,28;94,21;189,70;45,66
numZero;289,02;122,05;145,09;170,04;125,64;145,74;152,34;223,50;171,93;141,28;157,57;242,31;157,48;269,88;197,01
oddOrPos;12,46;19,78;16,15;14,13;14,98;18,78;15,75;18,61;16,06;13,28;16,09;13,97;12,51;14,94;13,55
pcal;308,95;28,42;143,20;287,15;239,33;56,11;259,51;47,02;72,22;95,06;85,36;282,91;40,67;222,06;240,11
power;30,57;11,69;22,04;13,57;27,77;28,79;15,83;23,76;25,27;15,04;19,33;24,30;30,31;17,00;17,32
print_tokens;217,02;15,22;209,94;188,33;135,80;152,30;161,92;156,25;208,41;135,32;170,62;95,08;129,80;65,36;133,17
print_tokens2;206,54;35,78;55,04;75,61;192,75;144,96;63,67;110,34;182,82;54,60;89,31;116,79;181,55;119,49;100,95
printPrimes;93,07;12,27;73,34;36,65;22,28;66,41;87,42;19,78;19,63;84,54;13,84;41,17;33,98;40,96;71,69
Queue;10,84;46,11;45,44;23,78;21,55;23,64;15,88;12,48;18,77;24,71;32,47;22,73;17,30;15,84;30,29
quicksort;122,13;200,36;166,12;144,18;186,08;160,29;129,36;146,86;154,75;190,07;148,91;182,81;169,05;144,29;194,28
RecursiveSelectionSort;47,39;89,37;75,44;87,89;77,71;68,89;60,76;64,34;64,09;83,28;64,99;85,32;52,12;81,75;58,93
replace;802,35;86,56;284,40;275,87;649,44;250,39;234,00;224,88;319,32;440,29;496,36;564,60;468,99;154,93;556,59
schedule;146,78;44,15;119,88;141,33;121,11;117,86;100,21;111,57;140,69;70,75;95,20;121,05;46,49;117,53;140,69
schedule2;109,10;11,37;54,53;68,51;20,06;72,31;34,76;62,75;74,54;102,83;64,31;30,26;27,79;23,41;43,94
Stack;138,91;86,39;130,99;105,69;120,10;134,86;138,22;121,77;106,56;114,27;93,28;103,61;87,21;123,85;97,36
stats;103,64;359,67;308,95;178,13;287,48;190,56;163,56;187,94;265,97;351,40;226,59;338,31;250,66;208,03;244,42
sum;69,66;242,64;214,46;149,11;212,15;144,55;158,15;212,79;95,49;102,28;165,10;100,78;164,99;234,62;197,23
tcas;24,42;144,90;92,08;139,50;56,46;35,13;106,67;62,82;83,35;101,98;54,60;42,83;130,46;57,47;131,72
testPad;104,63;84,43;94,09;95,03;97,46;86,97;93,73;93,54;88,18;93,63;101,36;96,88;97,09;97,93;101,97
totinfo;251,41;47,47;48,23;242,79;245,84;244,80;148,12;96,07;79,83;75,88;211,56;118,30;184,58;59,55;178,44
trashAndTakeOut;11,53;75,21;59,13;60,13;48,38;55,83;61,56;60,39;48,97;67,12;48,55;46,76;11,56;38,21;37,83
twoPred;35,26;100,45;53,01;44,69;81,98;59,08;62,16;84,81;63,64;50,68;89,85;62,51;62,46;92,95;54,83
UnixCal;69,51;172,29;116,25;75,28;168,99;165,25;151,00;165,84;71,22;98,83;142,35;134,27;122,91;111,30;135,06
TOTAL;4557,76;4566,00;4514,99;4271,48;4585,62;4236,75;4552,21;4361,85;4205,86;4759,50;4789,54;5078,34;4524,83;4463,58;4951,49
