boundedQueue;61,23;62,89;62,28;61,73;62,21;62,65;62,85;61,34;61,65;62,33;62,55;62,50;62,21;62,53;62,79
cal;30,28;29,02;28,77;28,84;30,69;29,84;29,89;29,00;30,28;29,33;29,28;29,95;29,82;29,19;28,79
Calculation;152,16;149,12;149,41;148,24;150,11;148,34;151,50;152,11;150,19;150,89;152,07;151,17;149,13;150,51;151,12
checkIt;9,94;8,44;8,49;8,43;9,73;9,51;9,60;9,56;8,51;8,91;9,49;9,42;9,64;8,83;9,03
CheckPalindrome;11,33;11,53;11,41;11,17;11,54;11,43;11,36;11,38;11,34;11,20;11,45;11,52;11,18;11,49;11,39
countPositive;12,64;12,36;12,24;12,26;12,74;12,34;12,62;12,41;12,49;12,57;12,37;12,49;12,34;12,28;12,67
date-plus;252,60;259,95;251,24;254,52;253,59;255,23;252,89;252,26;254,52;254,04;255,43;259,26;257,65;257,21;259,26
DigitReverser;46,12;41,97;42,35;42,22;42,22;45,13;44,02;46,08;45,76;43,08;42,73;42,59;45,38;43,17;44,73
findLast;12,09;11,58;11,65;11,83;10,61;11,14;11,82;11,73;11,20;11,60;11,79;11,41;10,63;11,17;11,18
findVal;19,37;14,92;15,21;15,17;17,74;17,19;17,06;17,95;16,05;15,22;18,37;17,66;17,78;18,73;17,42
Gaussian;202,47;203,73;204,01;203,84;201,64;202,99;202,12;201,77;202,19;203,90;203,60;202,63;203,83;203,03;202,10
Heap;71,50;71,93;71,09;70,38;71,49;71,67;70,54;71,04;70,65;71,60;70,66;71,21;70,45;71,45;71,50
InversePermutation;25,64;24,85;25,63;25,72;25,37;25,09;25,07;25,63;25,47;25,32;25,61;25,03;25,17;24,94;25,07
jday-jdate;68,32;69,86;69,15;70,00;70,81;70,12;68,81;68,88;68,95;69,18;69,37;69,67;70,16;70,18;70,00
lastZero;26,23;26,63;25,88;26,77;27,56;26,43;26,25;25,92;26,71;27,20;27,11;26,63;26,06;26,35;27,01
LRS;72,21;71,82;73,16;73,47;72,67;72,97;71,83;73,03;72,03;72,01;72,66;72,40;73,25;73,24;72,49
MergeSort;69,22;66,00;64,94;65,59;66,33;68,66;65,81;67,19;65,10;67,20;68,37;68,49;68,21;67,80;65,70
numZero;19,82;16,78;18,41;17,17;25,33;23,85;25,09;21,00;24,17;20,37;25,19;25,18;20,29;17,63;25,29
oddOrPos;17,83;17,06;17,32;17,70;20,16;17,47;19,68;18,79;20,09;18,73;17,26;17,24;17,39;18,55;19,54
pcal;892,75;889,52;896,08;895,27;902,12;889,96;897,90;899,51;899,53;894,13;892,38;895,18;895,17;895,71;893,92
power;35,47;34,00;34,36;34,33;35,81;34,57;34,14;34,06;34,05;34,61;34,49;34,96;34,64;35,46;34,70
print_tokens;431,69;530,76;535,46;534,98;531,70;505,42;512,23;488,24;462,18;477,96;461,19;434,51;475,95;506,01;459,26
print_tokens2;531,05;433,59;431,97;431,13;433,79;514,35;476,96;511,90;502,39;473,49;459,00;472,33;527,25;497,13;448,75
printPrimes;90,56;89,95;93,10;91,36;90,94;90,88;92,85;89,99;90,79;90,57;92,22;92,50;90,92;91,70;90,14
Queue;21,30;20,72;20,72;20,48;20,97;20,77;21,24;20,93;20,56;21,05;20,93;20,62;21,07;20,82;20,93
quicksort;217,01;217,06;219,29;218,43;220,56;219,73;217,35;220,50;217,44;220,03;220,21;217,53;218,71;219,18;217,20
RecursiveSelectionSort;31,50;31,55;31,46;31,16;31,47;31,27;31,25;31,40;31,21;31,27;31,18;31,35;31,33;31,36;31,27
replace;4061,84;4057,03;4047,80;4051,68;4064,50;4048,29;4059,36;4053,74;4048,40;4052,07;4062,16;4055,23;4052,46;4060,93;4057,39
schedule;576,10;580,82;581,26;579,77;584,95;576,68;583,43;577,82;580,68;578,78;577,12;577,75;581,15;577,11;580,62
schedule2;397,20;398,48;398,68;398,89;398,74;397,93;397,52;397,82;398,62;398,63;398,79;398,18;397,76;397,40;397,72
Stack;35,73;33,60;36,29;36,37;35,37;36,16;35,84;36,01;36,19;34,05;35,75;36,29;34,62;34,24;34,96
stats;50,15;65,56;49,28;48,94;47,84;47,99;63,76;65,55;61,65;53,24;51,19;65,22;50,44;57,69;59,09
sum;12,01;11,84;11,89;12,10;11,75;11,96;11,81;11,80;11,85;12,04;11,79;11,81;12,02;11,95;11,86
tcas;80,11;80,21;79,24;79,29;80,03;79,81;79,95;79,40;79,91;80,09;80,11;79,68;79,42;79,51;79,78
testPad;35,98;38,75;38,28;38,19;35,87;38,17;36,17;36,38;37,49;36,03;36,55;38,59;36,34;38,23;36,65
totinfo;683,70;684,77;678,61;681,44;683,42;680,43;683,47;682,89;680,17;678,78;684,33;683,45;684,27;681,77;684,06
trashAndTakeOut;18,01;18,08;17,81;17,98;17,15;17,51;17,56;17,37;17,39;17,26;17,39;17,75;17,87;17,82;17,20
twoPred;15,72;15,86;15,88;15,51;16,33;15,98;16,05;15,79;15,66;15,89;16,27;16,25;16,18;15,75;15,92
UnixCal;210,70;211,38;212,81;213,09;212,15;212,11;211,27;212,15;211,66;212,28;211,37;212,56;210,89;211,03;212,16
TOTAL;9609,58;9613,97;9592,91;9595,44;9638,00;9652,02;9658,92;9660,32;9615,17;9586,93;9579,78;9578,19;9649,03;9659,08;9570,66
