boundedqueue;68,97;68,891;69,085;68,662;68,769;68,70;68,81;68,87;68,95;68,77;68,87;68,76;69,02;68,81;68,78
cal;46,72;46,274;46,102;46,278;47,261;46,33;46,28;47,14;46,71;47,19;46,32;46,27;46,21;46,13;46,92
calculation;513,17;486,968;503,315;494,792;499,125;505,91;492,35;500,51;504,52;510,26;501,48;508,01;506,42;500,17;512,10
checkit;1,32;1,309;1,326;1,304;1,319;1,32;1,32;1,30;1,32;1,31;1,32;1,31;1,31;1,32;1,31
checkpalindrome;12,46;12,4;12,53;12,418;12,417;12,44;12,48;12,41;12,47;12,42;12,46;12,48;12,53;12,47;12,48
countpositive;14,63;14,614;14,445;14,444;14,807;14,67;14,66;14,58;14,79;14,75;14,73;14,45;14,49;14,64;14,70
date-plus;794,30;790,783;813,789;796,438;799,819;811,69;803,51;794,33;798,02;802,93;809,51;798,20;809,12;808,31;810,91
digitreverser;117,88;117,899;117,746;117,939;117,982;117,81;117,78;117,90;117,80;117,80;117,90;117,84;117,78;117,97;117,98
findlast;12,28;12,365;12,192;12,505;12,275;12,49;12,44;12,46;12,28;12,38;12,41;12,38;12,43;12,39;12,20
findval;20,61;20,293;20,733;20,086;20,44;20,70;20,56;20,62;20,10;20,34;20,22;20,72;20,73;20,32;20,65
gaussian;698,30;703,96;692,813;693,467;704,565;703,91;701,38;701,68;704,33;697,22;698,37;697,98;694,92;697,07;696,71
heap;191,80;191,115;191,856;188,979;190,692;191,66;191,06;189,33;189,99;189,18;189,57;189,69;190,70;189,90;189,52
inversepermutation;38,69;38,074;38,089;38,497;38,6;38,23;38,47;38,54;38,11;38,28;38,43;38,11;38,40;38,53;38,33
jday-jdate;63,86;64,146;63,414;63,644;64,192;64,17;64,14;63,78;63,44;63,85;63,84;64,15;64,04;64,19;63,82
lastzero;13,24;13,55;13,296;13,088;13,646;13,46;13,17;13,61;13,42;13,46;13,53;13,58;13,37;13,65;13,60
lrs;192,85;195,659;191,699;193,072;192,572;194,47;193,54;193,69;195,62;194,74;194,07;195,29;194,20;192,87;193,18
mergesort;174,37;173,942;172,258;174,765;174,321;174,23;173,55;172,69;172,41;173,32;173,29;172,44;172,49;173,63;174,41
numzero;15,47;14,581;14,26;14,938;15,342;14,36;14,92;14,56;15,02;14,75;15,25;14,85;14,41;14,27;15,07
oddorpos;23,53;23,851;24,07;23,608;23,945;23,96;23,82;23,77;23,70;23,90;23,88;24,01;23,92;23,78;23,55
pcal;3034,96;3018,488;3037,975;13846,443;3004,775;3977,41;5558,36;3817,69;7008,36;10119,15;12601,92;10050,38;12665,10;5230,94;11290,71
power;98,09;98,004;103,386;98,073;103,335;102,04;102,49;98,24;102,47;98,71;100,97;98,84;98,71;101,01;103,30
print_tokens2;1362,85;1383,641;1377,134;1353,509;1354,343;1370,66;1358,43;1367,48;1361,64;1358,88;1354,94;1376,61;1381,97;1380,11;1368,97
print_tokens;1773,84;1783,725;1777,904;1781,184;1787,019;1777,76;1778,05;1778,65;1775,08;1781,28;1775,30;1778,10;1781,02;1777,35;1781,14
printprimes;298,47;298,433;298,102;292,32;292,144;297,26;292,36;295,94;296,98;295,23;295,53;293,40;292,66;295,72;293,98
queue;29,69;29,646;29,787;30,053;29,576;29,98;29,91;29,64;29,80;29,99;29,73;29,84;29,92;29,77;29,90
quicksort;783,64;783,538;780,53;779,342;790,743;784,06;783,73;785,26;789,95;783,34;785,06;788,00;789,92;780,59;779,85
recursiveselectionsort;70,18;71,678;71,431;71,46;71,771;71,14;70,64;70,76;71,10;70,28;70,81;71,77;71,20;70,53;71,13
replace;15034,04;15039,768;15190,349;15110,29;15084,16;15059,31;15114,27;15187,49;15148,41;15070,04;15116,33;15040,02;15109,00;15169,60;15081,62
schedule2;1367,26;1365,718;1370,279;1362,661;1363,057;1370,16;1369,11;1366,39;1367,97;1363,14;1365,54;1368,99;1368,67;1370,06;1369,97
schedule;2127,96;2107,949;2112,434;2098,988;2123,166;2126,65;2099,83;2116,04;2125,40;2116,07;2112,26;2121,03;2125,01;2107,64;2123,56
stack;90,70;90,7;90,316;90,961;90,753;90,32;90,67;90,78;90,59;90,87;90,56;90,77;90,75;90,75;90,87
stats;99,51;10902,279;98,767;102,017;10902,935;8815,22;4826,84;2383,44;8349,88;4197,69;1609,46;9135,92;451,53;470,11;3406,23
sum;15,60;15,959;16,214;15,728;16,042;15,81;16,06;15,74;16,03;16,01;15,90;15,86;15,84;16,01;15,94
tcas;148,09;147,899;149,265;147,902;148,13;149,18;149,13;149,16;149,05;149,00;148,73;148,94;148,30;148,67;148,34
testpad;88,59;89,438;92,467;90,996;89,838;89,96;90,24;92,15;91,03;89,39;89,91;91,34;89,97;89,01;91,98
totinfo;2189,42;2205,112;2183,053;2186,684;2201,118;2186,52;2195,85;2190,79;2193,47;2189,08;2192,64;2192,65;2197,01;2186,07;2197,06
trashandtakeout;9,83;9,87;10,028;9,845;9,819;9,95;9,98;10,00;9,86;9,97;9,87;10,01;10,00;9,91;9,84
twopred;2,84;2,871;2,885;2,83;2,835;2,83;2,87;2,87;2,85;2,84;2,88;2,86;2,88;2,87;2,86
unixcal;513,31;512,736;523,362;512,466;512,573;521,93;522,30;520,14;517,38;516,37;513,78;517,34;520,99;520,90;521,21
TOTAL;32153,32;42948,13;32328,69;42972,68;42990,22;41878,66;39465,36;35370,42;44510,30;43364,18;43297,57;48233,19;42256,94;34858,04;43804,68
